date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2024-10-01,NVDA,1,35906447057.0745,True,121.44
2024-10-01,SPY,2,29310363679.395996,True,573.76
2024-10-01,TSLA,3,18913325199.546997,True,261.63
2024-10-01,QQQ,4,16342230191.4165,True,488.07
2024-10-01,AAPL,5,13824995051.939495,True,233
2024-10-01,MSFT,6,8014432786.334,True,430.3
2024-10-01,AMZN,7,7092841493.1705,True,186.33
2024-10-01,META,8,6645278658.190749,True,572.44
2024-10-01,IWM,9,6149786025.1115,True,220.89
2024-10-01,AVGO,10,5560765384.430499,True,172.5
2024-10-01,AMD,11,4970154641.537,True,164.08
2024-10-01,IVV,12,4562499639.839001,True,576.82
2024-10-01,GOOGL,13,4188612678.4314995,True,165.85
2024-10-01,VOO,14,4135393884.8615,True,527.67
2024-10-01,TLT,15,3714444709.2980013,True,98.1
2024-10-01,TQQQ,16,3530298554.9465,True,36.245
2024-10-01,LQD,17,3373972322.332,True,112.98
2024-10-01,SOXL,18,3272735625.711,True,36.68
2024-10-01,SMCI,19,3208137583.0365,True,41.64
2024-10-01,GOOG,20,3091702257.8805003,True,167.19
2024-10-01,MU,21,2888230402.646,True,103.71
2024-10-01,PLTR,22,2875480372.8989997,True,37.2
2024-10-01,HYG,23,2795425163.2105,True,80.3
2024-10-01,LLY,24,2650551536.5484996,True,885.94
2024-10-01,V,25,2337444073.8260007,True,274.95
2024-10-01,INTC,26,2274308010.4960003,True,23.46
2024-10-01,TSM,27,2167819107.2850003,True,173.67
2024-10-01,JPM,28,2162341596.9045,True,210.86
2024-10-01,ORCL,29,2130023981.2605,True,170.4
2024-10-01,BABA,30,2018053634.6990001,True,106.12
2024-10-01,ADBE,31,1921439223.9615002,True,517.78
2024-10-01,NFLX,32,1846094279.8165002,True,70.927
2024-10-01,SMH,33,1838253566.5279999,True,245.45
2024-10-01,XOM,34,1826867597.9425004,True,117.22
2024-10-01,COST,35,1821637782.3344998,True,886.52
2024-10-01,PDD,36,1793667623.8904998,True,134.81
2024-10-01,UNH,37,1781605465.7649999,True,584.68
2024-10-01,XLF,38,1747256250.146,True,45.32
2024-10-01,MSTR,39,1633936422.1304998,True,168.6
2024-10-01,SOXS,40,1600217397.2100003,True,405
2024-10-01,BAC,41,1576577584.304,True,39.68
2024-10-01,DELL,42,1555472262.346,True,118.54
2024-10-01,GLD,43,1551909900.579,True,243.06
2024-10-01,CRM,44,1544028174.3009999,True,273.71
2024-10-01,FXI,45,1507631086.6605,True,31.78
2024-10-01,BA,46,1503229755.414,True,152.04
2024-10-01,EEM,47,1496973074.4274998,True,45.86
2024-10-01,QCOM,48,1434943529.5900002,True,170.05
2024-10-01,XLE,49,1418348621.734,True,43.9
2024-10-01,WMT,50,1413743701.374,True,80.75
2024-10-01,SQQQ,51,1394551549.606,True,184.75
2024-10-01,PG,52,1328631399.4135,True,173.2
2024-10-01,AMAT,53,1285632570.8665,True,202.05
2024-10-01,DIA,54,1285605224.0844998,True,423.12
2024-10-01,ASML,55,1280557115.5435,True,833.25
2024-10-01,COIN,56,1269594373.8000002,True,178.17
2024-10-01,MA,57,1251864482.131,True,493.8
2024-10-01,CVX,58,1217121148.1415,True,147.27
2024-10-01,CRWD,59,1206504902.1105,True,280.47
2024-10-01,HD,60,1204737471.301,True,405.2
2024-10-01,NVDL,61,1194107236.8180003,True,58.19
2024-10-01,MRK,62,1176989986.7739997,True,113.56
2024-10-01,WFC,63,1151916211.2595,True,56.49
2024-10-01,RSP,64,1111930734.2450001,True,179.16
2024-10-01,NOW,65,1099403670.3374999,True,178.878
2024-10-01,TXN,66,1097755373.355,True,206.57
2024-10-01,KO,67,1096869267.2440004,True,71.86
2024-10-01,NKE,68,1074884667.6865,True,88.4
2024-10-01,LRCX,69,1070613899.5754999,True,81.608
2024-10-01,XLK,70,1070254627.6240002,True,112.88
2024-10-01,XLV,71,1022850392.885,True,154.02
2024-10-01,UBER,72,1011296686.3634999,True,75.16
2024-10-01,VZ,73,1009594146.7764997,True,44.91
2024-10-01,PEP,74,1007843869.967,True,170.05
2024-10-01,XLI,75,998852226.4365,True,135.44
2024-10-01,JNJ,76,990823732.5189998,True,162.06
2024-10-01,CAT,77,985451530.7744999,True,391.12
2024-10-01,IEF,78,976968905.5150001,True,98.12
2024-10-01,GS,79,948343605.9234998,True,495.11
2024-10-01,SBUX,80,948196449.3864998,True,97.49
2024-10-01,XLU,81,946064687.1450001,True,40.39
2024-10-01,ABBV,82,925291721.47,True,197.48
2024-10-01,CEG,83,922940356.6869999,True,260.02
2024-10-01,XLP,84,918124123.4115002,True,83
2024-10-01,CSCO,85,912311340.7685001,True,53.22
2024-10-01,ARM,86,906741393.589,True,143.01
2024-10-01,SOXX,87,905326446.573,True,230.59
2024-10-01,PYPL,88,896698220.128,True,78.03
2024-10-01,GE,89,894431000.9210001,True,188.58
2024-10-01,BKNG,90,894243358.1924999,True,168.4848
2024-10-01,IBM,91,889896200.408,True,221.08
2024-10-01,T,92,888205772.1515,True,22
2024-10-01,COP,93,886819755.742,True,105.28
2024-10-01,PFE,94,872973322.8605001,True,28.94
2024-10-01,ACN,95,869737674.2105,True,353.48
2024-10-01,GDX,96,860886369.6485001,True,39.82
2024-10-01,TMUS,97,851083560.9380001,True,206.36
2024-10-01,IBIT,98,833695566.1299999,True,36.13
2024-10-01,EFA,99,830560908.089,True,83.63
2024-10-01,MRVL,100,829903901.016,True,72.12
2024-10-01,VST,101,827483833.8659999,True,118.54
2024-10-01,DIS,102,822765301.7145001,True,96.19
2024-10-01,C,103,818021160.2995,True,62.6
2024-10-01,CMCSA,104,817377881.8244998,True,41.77
2024-10-01,PANW,105,814903244.4015001,True,170.9
2024-10-01,NEE,106,812414421.9905002,True,84.53
2024-10-01,PM,107,808486360.6075,True,121.4
2024-10-01,MCD,108,807942244.6165,True,304.51
2024-10-01,KWEB,109,806795821.3549999,True,34.02
2024-10-01,SNOW,110,803445493.7965,True,114.86
2024-10-01,TMO,111,799010801.4419999,True,618.57
2024-10-01,INTU,112,793514668.077,True,621
2024-10-01,LIN,113,766553614.8799999,True,476.86
2024-10-01,AGG,114,766298891.4265001,True,101.27
2024-10-01,XBI,115,757132999.4675001,True,98.8
2024-10-01,GEV,116,749917566.4175001,True,254.98
2024-10-01,DHR,117,734852503.718,True,278.02
2024-10-01,VTI,118,732042473.1509998,True,283.16
2024-10-01,AXP,119,724530605.2370002,True,271.2
2024-10-01,BIL,120,719563320.8695,True,91.81
2024-10-01,ETN,121,715484538.8540001,True,331.44
2024-10-01,KRE,122,707936931.6350001,True,56.6
2024-10-01,KLAC,123,706526029.9099998,True,774.41
2024-10-01,RTX,124,702810940.8815001,True,121.16
2024-10-01,REGN,125,701156073.9665,True,1051.24
2024-10-01,FDX,126,698314060.701,True,273.68
2024-10-01,FLUT,127,698273907.6255,True,237.28
2024-10-01,AMGN,128,691016952.8665,True,322.21
2024-10-01,TNA,129,688651203.7895,True,44.34
2024-10-01,MCK,130,687812769.3525,True,494.42
2024-10-01,OXY,131,686608232.6140001,True,51.54
2024-10-01,ADI,132,669297496.575,True,230.17
2024-10-01,MDT,133,660973606.938,True,90.03
2024-10-01,GILD,134,660632838.4055,True,83.84
2024-10-01,GM,135,658959001.6105001,True,44.84
2024-10-01,VCIT,136,656721870.25,True,83.75
2024-10-01,VRT,137,652545873.9894999,True,99.49
2024-10-01,FCX,138,642306083.4340001,True,49.92
2024-10-01,JD,139,640580835.5309999,True,40
2024-10-01,IEMG,140,638013200.4009998,True,57.41
2024-10-01,NXPI,141,637908916.557,True,240.01
2024-10-01,SPXL,142,637083370.2099998,True,163.95
2024-10-01,UNP,143,634427652.6930001,True,246.48
2024-10-01,APP,144,621988737.8415,True,130.55
2024-10-01,SNPS,145,611827337.3184999,True,506.39
2024-10-01,SLB,146,608679435.6099999,True,41.95
2024-10-01,PGR,147,603963063.3165001,True,253.76
2024-10-01,ISRG,148,601641318.2654998,True,491.27
2024-10-01,MELI,149,598633459.675,True,2051.96
2024-10-01,TSLL,150,597559733.1014999,True,13.82
2024-10-01,UPS,151,596204988.6114999,True,136.34
2024-10-01,CMG,152,584254160.9034998,True,57.62
2024-10-01,MS,153,583241736.8139999,True,104.24
2024-10-01,BMY,154,581974458.133,True,51.74
2024-10-01,SLV,155,572495066.1629999,True,28.41
2024-10-01,IYR,156,569167621.2444999,True,101.87
2024-10-01,TMF,157,567132557.1525,True,57.76
2024-10-01,ANET,158,566081711.0065,True,95.955
2024-10-01,TGT,159,563200757.6559999,True,155.86
2024-10-01,XLY,160,560816765.3995,True,100.185
2024-10-01,ABT,161,560647911.8825,True,114.01
2024-10-01,LMT,162,559766951.7665,True,584.56
2024-10-01,CB,163,557937394.5400001,True,288.39
2024-10-01,LOW,164,556469300.4505,True,270.85
2024-10-01,LULU,165,552206473.112,True,271.35
2024-10-01,EMB,166,548387625.4405,True,93.58
2024-10-01,MPC,167,548242985.6999999,True,162.91
2024-10-01,DE,168,548012399.8155,True,417.33
2024-10-01,EWZ,169,545364550.59,True,29.49
2024-10-01,SPGI,170,543764299.3525001,True,516.62
2024-10-01,ABNB,171,541392401.2219999,True,126.81
2024-10-01,F,172,538523002.793,True,10.56
2024-10-01,AMT,173,529978424.36800003,True,232.56
2024-10-01,MARA,174,529072844.4775001,True,16.22
2024-10-01,CVNA,175,526571809.04300004,True,174.11
2024-10-01,SGOV,176,520200244.1084999,True,100.72
2024-10-01,SPOT,177,516253967.9214999,True,368.53
2024-10-01,EW,178,514913042.88199997,True,65.99
2024-10-01,HUM,179,514912385.1865001,True,316.74
2024-10-01,IEFA,180,512353823.73849994,True,78.05
2024-10-01,MCHP,181,512300093.3485001,True,80.29
2024-10-01,CCL,182,512196677.483,True,18.48
2024-10-01,CVS,183,511671204.474,True,62.88
2024-10-01,TJX,184,509651273.23,True,117.54
2024-10-01,SCHW,185,507024450.129,True,64.81
2024-10-01,ELV,186,502715490.7329999,True,520
2024-10-01,CME,187,502341493.43499994,True,220.65
2024-10-01,NVO,188,502059660.25499994,True,119.07
2024-10-01,ASTS,189,498518290.4704999,True,26.15
2024-10-01,NIO,190,497053129.362,True,6.68
2024-10-01,MMM,191,497052523.0455,True,136.7
2024-10-01,BX,192,494869379.5475,True,153.13
2024-10-01,EOG,193,493555895.4225,True,122.93
2024-10-01,DLTR,194,491255052.87700003,True,70.32
2024-10-01,BND,195,488216341.0425,True,75.11
2024-10-01,ULTA,196,487662622.1859999,True,389.12
2024-10-01,MPWR,197,487168592.9415,True,924.5
2024-10-01,IJH,198,484396918.4315001,True,62.32
2024-10-01,HCA,199,483087511.1905001,True,406.43
2024-10-01,CHTR,200,481078234.2645,True,324.08
2024-10-01,IWF,201,480538163.8199999,True,93.845
2024-10-01,PSX,202,479177445.3655001,True,131.45
2024-10-01,PLD,203,475724179.8959999,True,126.28
2024-10-01,VRTX,204,473662761.44350004,True,465.08
2024-10-01,MO,205,472172450.458,True,51.04
2024-10-01,FSLR,206,470932368.2044999,True,249.44
2024-10-01,ADP,207,469940956.28050005,True,276.73
2024-10-01,NU,208,468385966.9615,True,13.65
2024-10-01,CDNS,209,466597575.654,True,271.03
2024-10-01,CL,210,464915294.176,True,103.81
2024-10-01,WDAY,211,463553978.4710001,True,244.41
2024-10-01,FERG,212,461559627.21449995,True,198.57
2024-10-01,SHW,213,461159451.55799997,True,381.67
2024-10-01,ICE,214,457572517.78249997,True,160.64
2024-10-01,NEM,215,456798211.7905,True,53.45
2024-10-01,MDLZ,216,455360662.3215,True,73.67
2024-10-01,HON,217,454083801.4651402,True,194.8256
2024-10-01,DG,218,453743212.8979999,True,84.57
2024-10-01,FANG,219,453264319.179,True,172.4
2024-10-01,AAL,220,452456337.83249986,True,11.24
2024-10-01,XOP,221,450847673.616,True,131.52
2024-10-01,IJR,222,447720612.80600005,True,116.96
2024-10-01,VLO,223,447711733.80700004,True,135.03
