date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2025-11-27,SPY,1,59632892803.40599,True,679.68
2025-11-27,NVDA,2,41452025893.952,True,180.26
2025-11-27,QQQ,3,40577813462.07251,True,614.27
2025-11-27,TSLA,4,37128577420.9545,True,426.58
2025-11-27,META,5,17278294932.695496,True,633.61
2025-11-27,GOOGL,6,13886523812.393,True,319.95
2025-11-27,AAPL,7,13736349255.979,True,277.55
2025-11-27,AMZN,8,13573898463.514,True,229.16
2025-11-27,MSFT,9,13482685128.175001,True,485.5
2025-11-27,AMD,10,13110815173.3485,True,214.24
2025-11-27,IWM,11,11743986758.42,True,247.3
2025-11-27,PLTR,12,11398091381.921001,True,165.77
2025-11-27,GOOG,13,8686736044.7395,True,320.28
2025-11-27,AVGO,14,8270748596.921498,True,397.57
2025-11-27,TQQQ,15,7756693869.263501,True,53.37
2025-11-27,MU,16,6387709867.656,True,230.26
2025-11-27,ORCL,17,5370392972.061001,True,204.96
2025-11-27,IVV,18,5136528692.624999,True,683.06
2025-11-27,VOO,19,5023164686.262501,True,624.95
2025-11-27,LLY,20,4668504070.774,True,1104.34
2025-11-27,NFLX,21,4518036796.431501,True,106.14
2025-11-27,LQD,22,4374513910.355501,True,112.05
2025-11-27,RSP,23,4327994712.4295,True,190.5
2025-11-27,SOXL,24,4321179180.8465,True,39.19
2025-11-27,GLD,25,4273288050.2105002,True,383.12
2025-11-27,IBIT,26,4038508679.92575,True,51.03
2025-11-27,HOOD,27,3964076305.0480003,True,128.2
2025-11-27,TSM,28,3723663534.1960006,True,289.96
2025-11-27,DIA,29,3723522256.2565002,True,474.35
2025-11-27,MSTR,30,3691296145.655,True,175.64
2025-11-27,SNDK,31,3687444531.2155,True,215.04
2025-11-27,HYG,32,3633710319.3670006,True,80.95
2025-11-27,XLK,33,3361484032.0924997,True,141.89
2025-11-27,SMH,34,3324234765.7054996,True,347.71
2025-11-27,COIN,35,3129263063.58,True,264.97
2025-11-27,SQQQ,36,3081942279.2155,True,69.97
2025-11-27,TLT,37,2927325932.4874997,True,90.64
2025-11-27,INTC,38,2854424920.9465,True,36.81
2025-11-27,CRWV,39,2851547285.078,True,74.29
2025-11-27,UNH,40,2823408577.509001,True,329.71
2025-11-27,APP,41,2786781729.0245004,True,586.37
2025-11-27,PFE,42,2523696643.9245,True,25.71
2025-11-27,XLF,43,2519994176.0874996,True,52.95
2025-11-27,JPM,44,2473696269.7454996,True,307.64
2025-11-27,XLV,45,2472352342.9205,True,158.42
2025-11-27,NBIS,46,2465979656.5835,True,94.69
2025-11-27,BABA,47,2396429633.6500006,True,157.6
2025-11-27,COST,48,2396010768.0775003,True,908.26
2025-11-27,IREN,49,2339920023.7039995,True,48.45
2025-11-27,TSLL,50,2311944752.7095003,True,18.23
2025-11-27,SOFI,51,2216161039.9244995,True,28.49
2025-11-27,SOXX,52,2178475094.341,True,291.39
2025-11-27,WMT,53,2157371019.7385,True,109.1
2025-11-27,V,54,2151215279.1004996,True,333.79
2025-11-27,XLI,55,2066756627.1430001,True,152.8
2025-11-27,BAC,56,2027691489.8615003,True,52.99
2025-11-27,AMAT,57,1993170801.9785,True,249.97
2025-11-27,CSCO,58,1975016610.3790002,True,76.07
2025-11-27,BE,59,1970630018.6545002,True,101.14
2025-11-27,UBER,60,1922767728.6895003,True,85.66
2025-11-27,GDX,61,1857589811.2449996,True,81.55
2025-11-27,JNJ,62,1817892165.4689999,True,207.56
2025-11-27,XOM,63,1796510137.2800002,True,114.77
2025-11-27,QCOM,64,1786769910.2389998,True,165.14
2025-11-27,LRCX,65,1767871672.777,True,155.14
2025-11-27,BA,66,1764444676.0470004,True,186.92
2025-11-27,GEV,67,1755523677.7945004,True,589.72
2025-11-27,CRM,68,1721047672.0964997,True,228.15
2025-11-27,XLY,69,1634749067.3274999,True,117.5
2025-11-27,SHOP,70,1599553068.9164999,True,159.34
2025-11-27,MA,71,1589502006.1305,True,544.93
2025-11-27,GS,72,1585093933.0435,True,816.01
2025-11-27,DASH,73,1579586505.5949998,True,195.98
2025-11-27,WDC,74,1572775258.5914998,True,157.74
2025-11-27,HD,75,1571685327.6994998,True,355.47
2025-11-27,RGTI,76,1570373625.267,True,25.57
2025-11-27,SGOV,77,1566493663.752,True,100.64
2025-11-27,BMNR,78,1565786499.1605,True,31.74
2025-11-27,EFA,79,1553802218.8624997,True,94.87
2025-11-27,CRCL,80,1535973347.207,True,72.64
2025-11-27,MRVL,81,1514331437.8445,True,87.72
2025-11-27,ABBV,82,1504289068.4774997,True,227.66
2025-11-27,QQQM,83,1502448210.7115002,True,252.92
2025-11-27,OKLO,84,1498389672.589,True,88.72
2025-11-27,CAT,85,1475512152.8295,True,573.73
2025-11-27,IBM,86,1468266194.2675002,True,303.21
2025-11-27,MRK,87,1464517947.3045,True,104.63
2025-11-27,EEM,88,1462298131.4935002,True,54.24
2025-11-27,NOW,89,1459881985.1565,True,160.544
2025-11-27,BKNG,90,1454735153.7545,True,196.474
2025-11-27,ASML,91,1451151954.6999998,True,1040.97
2025-11-27,LITE,92,1446709925.0655,True,308.28
2025-11-27,XLE,93,1432477267.2809997,True,44.64
2025-11-27,T,94,1392857828.189,True,25.82
2025-11-27,SOXS,95,1391765706.9005,True,72.6
2025-11-27,PG,96,1375977661.6125,True,148.25
2025-11-27,NVDL,97,1374827896.9545002,True,83.62
2025-11-27,CVX,98,1362794200.872,True,149.51
2025-11-27,KLAC,99,1360647161.9715,True,1159.07
2025-11-27,XBI,100,1359737098.992,True,122.85
2025-11-27,ETHA,101,1349304400.392,True,22.9
2025-11-27,DIS,102,1345724277.52,True,103.43
2025-11-27,ANET,103,1318472012.9375002,True,127.65
2025-11-27,VRT,104,1312671990.336,True,172.02
2025-11-27,MELI,105,1295030559.3645,True,2033.32
2025-11-27,LIN,106,1287442974.9280002,True,407.9
2025-11-27,GE,107,1285637542.1069999,True,296.62
2025-11-27,WFC,108,1279573977.481,True,85.56
2025-11-27,IONQ,109,1279163851.5405002,True,46.9
2025-11-27,PANW,110,1277209648.5684998,True,185.35
2025-11-27,TXN,111,1274927789.7635002,True,165.35
2025-11-27,SPOT,112,1274233278.1169999,True,592.69
2025-11-27,XLP,113,1268144488.379,True,78.91
2025-11-27,VTI,114,1259582864.472,True,334.44
2025-11-27,FXI,115,1222731445.0525,True,39.37
2025-11-27,INTU,116,1215161533.3325,True,629.13
2025-11-27,VZ,117,1201427571.1535,True,40.88
2025-11-27,CVNA,118,1196595480.7409997,True,71.466
2025-11-27,STX,119,1194589786.642,True,272.28
2025-11-27,KO,120,1193624383.7315001,True,72.88
2025-11-27,RDDT,121,1193193019.4505,True,207.56
