date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2025-04-09,SPY,1,48209756660.94199,True,496.48
2025-04-09,TSLA,2,36335257987.711006,True,221.86
2025-04-09,NVDA,3,33414734986.052998,True,96.3
2025-04-09,QQQ,4,25232179858.081997,True,416.06
2025-04-09,AAPL,5,13428940796.642,True,172.42
2025-04-09,META,6,11566189972.7945,True,510.45
2025-04-09,AMZN,7,10409895074.061,True,170.66
2025-04-09,MSFT,8,9604251624.482998,True,354.56
2025-04-09,PLTR,9,8977113661.647,True,77.32
2025-04-09,IWM,10,7437928857.922,True,174.82
2025-04-09,TQQQ,11,6767031827.6525,True,19.45
2025-04-09,IVV,12,6382756445.582499,True,498.8
2025-04-09,AVGO,13,6231488162.657499,True,156.03
2025-04-09,GOOGL,14,6047549543.880999,True,144.7
2025-04-09,VOO,15,5729650001.1105,True,456.74
2025-04-09,MSTR,16,5429934338.611,True,237.95
2025-04-09,HYG,17,5229211947.5635,True,75.75
2025-04-09,NFLX,18,4798189931.621,True,87.04
2025-04-09,SQQQ,19,4473678217.9305,True,264.85
2025-04-09,GOOG,20,4019122346.5194993,True,146.58
2025-04-09,TLT,21,3863239255.6025,True,88.35
2025-04-09,AMD,22,3781863851.5005007,True,78.21
2025-04-09,LQD,23,3512253939.0460005,True,105.31
2025-04-09,GLD,24,3164640068.043,True,275.2
2025-04-09,JPM,25,3133352509.9845004,True,216.87
2025-04-09,BABA,26,3129094715.4425,True,99.37
2025-04-09,APP,27,2902957018.444499,True,235.28
2025-04-09,XLF,28,2814171765.4465,True,43.92
2025-04-09,LLY,29,2776728045.1475005,True,726.24
2025-04-09,TSM,30,2758385458.256,True,141.37
2025-04-09,V,31,2661380111.7205,True,308.27
2025-04-09,INTC,32,2595080447.0800004,True,18.13
2025-04-09,UNH,33,2570690565.5924997,True,553.08
2025-04-09,MU,34,2451211094.3894997,True,65.54
2025-04-09,COST,35,2444004079.2955,True,908.75
2025-04-09,SOXL,36,2401289164.887,True,8.25
2025-04-09,WMT,37,2271346741.1054997,True,81.79
2025-04-09,TSLL,38,2178107572.7819996,True,6.79
2025-04-09,XOM,39,2142772380.1574998,True,100.77
2025-04-09,SMCI,40,2114550584.494,True,31.71
2025-04-09,HOOD,41,2085984310.7315,True,34.17
2025-04-09,FXI,42,2038367219.9100003,True,29.59
2025-04-09,ADBE,43,2014552143.0630004,True,340
2025-04-09,BAC,44,1984840936.4884999,True,35.03
2025-04-09,SMH,45,1896326660.0029998,True,179.95
2025-04-09,IBIT,46,1843640869.1895,True,43.59
2025-04-09,RSP,47,1841190798.2745004,True,152.93
2025-04-09,CRM,48,1839403887.2234998,True,243.99
2025-04-09,XLE,49,1812940540.457,True,38.22
2025-04-09,MA,50,1751214478.9445,True,479.92
2025-04-09,DASH,51,1750011126.7654998,True,165.75
2025-04-09,ORCL,52,1714666114.9050002,True,124.5
2025-04-09,GS,53,1680053196.1695,True,462.22
2025-04-09,CVX,54,1678480110.211,True,136.93
2025-04-09,NKE,55,1669851291.428,True,53.27
2025-04-09,ABBV,56,1660640939.7840002,True,175.67
2025-04-09,NOW,57,1653470453.7995,True,145.52
2025-04-09,BA,58,1653335170.4839997,True,139.39
2025-04-09,JNJ,59,1630876169.2025,True,150
2025-04-09,CSCO,60,1607352424.4550002,True,53.19
2025-04-09,EFA,61,1581409760.8260002,True,72.96
2025-04-09,PFE,62,1579322938.5665002,True,21.84
2025-04-09,MRK,63,1579213876.0484998,True,78.95
2025-04-09,HD,64,1567391063.8910003,True,335.24
2025-04-09,COIN,65,1565506635.145,True,151.47
2025-04-09,XLI,66,1550200857.541,True,116.42
2025-04-09,CRWD,67,1509885961.693,True,325.04
2025-04-09,PG,68,1505956875.7374997,True,158.39
2025-04-09,DIA,69,1503919268.775,True,376.48
2025-04-09,SPOT,70,1492697530.6405,True,518.35
2025-04-09,SOXS,71,1484764258.5665,True,940.4
2025-04-09,F,72,1469627255.5775,True,8.69
