date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2024-12-11,NVDA,1,31661636047.996002,True,135.07
2024-12-11,TSLA,2,30233246884.692497,True,400.99
2024-12-11,SPY,3,24236320786.1375,True,602.8
2024-12-11,MSTR,4,15340968027.4685,True,377.32
2024-12-11,QQQ,5,13232193060.151001,True,520.6
2024-12-11,AAPL,6,10145238717.098,True,247.77
2024-12-11,MSFT,7,9280083899.115501,True,443.33
2024-12-11,AMZN,8,8660081170.9735,True,225.04
2024-12-11,META,9,6941658520.027002,True,619.32
2024-12-11,IWM,10,5834599568.594999,True,236.7
2024-12-11,PLTR,11,5368166889.018001,True,70.89
2024-12-11,COIN,12,5278454949.265001,True,302.42
2024-12-11,GOOGL,13,4862590244.1035,True,185.17
2024-12-11,AMD,14,4382769573.5795,True,127.74
2024-12-11,SMCI,15,4018209953.4075,True,40.54
2024-12-11,TLT,16,3486693822.8969994,True,93.08
2024-12-11,AVGO,17,3455516117.6384993,True,171.81
2024-12-11,IBIT,18,3452513077.0655007,True,54.9
2024-12-11,GOOG,19,3266872638.9865,True,186.53
2024-12-11,LLY,20,3260629147.716,True,799.58
2024-12-11,TQQQ,21,3127752873.1665,True,42.38
2024-12-11,NFLX,22,2842845864.3599997,True,91.335
2024-12-11,IVV,23,2727296050.0575,True,605.92
2024-12-11,CRM,24,2607794428.1094995,True,348.82
2024-12-11,VOO,25,2561656900.1425,True,554.33
2024-12-11,APP,26,2527132489.6335,True,321.06
2024-12-11,LQD,27,2485448834.1974998,True,110.25
2024-12-11,UNH,28,2408274783.1125,True,565.19
2024-12-11,HYG,29,2379435810.0289993,True,79.84
2024-12-11,TSM,30,2248137445.0565,True,191.94
2024-12-11,MARA,31,2178796952.01525,True,22.805
2024-12-11,SPOT,32,2106963888.9030004,True,471.58
2024-12-11,SOXL,33,2105599268.7689998,True,27.06
2024-12-11,JPM,34,1962172694.0059998,True,242.86
2024-12-11,XLF,35,1880738825.192,True,49.7
2024-12-11,ORCL,36,1785661127.1755004,True,177.74
2024-12-11,INTC,37,1776397451.6495,True,20.16
2024-12-11,XOM,38,1771456789.257,True,112.67
2024-12-11,COST,39,1763098451.3224998,True,993.4
2024-12-11,V,40,1749679227.5154996,True,312.38
2024-12-11,SNOW,41,1738400899.9559999,True,171.55
2024-12-11,MU,42,1705618709.7700005,True,98.1
2024-12-11,WMT,43,1687174528.3819997,True,94.55
2024-12-11,BA,44,1645080541.9034998,True,164.1
2024-12-11,UBER,45,1583087431.737,True,64.96
2024-12-11,BAC,46,1567228671.6075,True,45.75
2024-12-11,GLD,47,1513918450.0094998,True,248.59
2024-12-11,TGT,48,1465546859.2745004,True,135.05
2024-12-11,BABA,49,1460803344.4145,True,89.83
2024-12-11,TSLL,50,1438751802.2169998,True,28.59
2024-12-11,SMH,51,1433021602.378,True,239.88
2024-12-11,FXI,52,1431963423.8434997,True,31.78
2024-12-11,CRWD,53,1430925461.156,True,346.775
2024-12-11,MRVL,54,1430743567.5440001,True,106.68
2024-12-11,DIA,55,1428263240.145,True,443.69
2024-12-11,MSTU,56,1427535782.6314998,True,141.62
2024-12-11,ADBE,57,1427164885.2975001,True,547.05
2024-12-11,DIS,58,1414283415.6670003,True,114.73
2024-12-11,HD,59,1393090017.7529998,True,422.59
2024-12-11,NOW,60,1378771076.1600003,True,225.568
2024-12-11,AMAT,61,1365337278.839,True,168.17
2024-12-11,MA,62,1350126475.5905,True,529.01
2024-12-11,AMGN,63,1347554585.5565,True,275.75
