date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2025-04-16,SPY,1,56094731434.199,True,537.61
2025-04-16,TSLA,2,38529410776.80849,True,254.11
2025-04-16,NVDA,3,35219238000.11049,True,112.2
2025-04-16,QQQ,4,28722975527.22,True,457.99
2025-04-16,AAPL,5,15904248970.804,True,202.14
2025-04-16,META,6,12334668887.8595,True,521.52
2025-04-16,AMZN,7,11378363910.980497,True,179.59
2025-04-16,MSFT,8,10414586343.959002,True,385.73
2025-04-16,PLTR,9,9757135420.642,True,98.4
2025-04-16,IWM,10,8703952626.891499,True,186.76
2025-04-16,TQQQ,11,7779297376.337,True,24.895
2025-04-16,AVGO,12,6733385559.728,True,178.95
2025-04-16,GOOGL,13,6340192872.139,True,156.31
2025-04-16,VOO,14,6258470460.1115,True,494.09
2025-04-16,MSTR,15,5866989854.5,True,310.72
2025-04-16,HYG,16,5769189877.1135,True,77.33
2025-04-16,IVV,17,5623697629.4295,True,540.19
2025-04-16,SQQQ,18,5228448284.387499,True,176.7
2025-04-16,TLT,19,4798597513.988501,True,87.82
2025-04-16,NFLX,20,4724996913.6415,True,97.628
2025-04-16,GOOG,21,4321235760.129001,True,158.68
2025-04-16,AMD,22,4312272152.3435,True,95.29
2025-04-16,LQD,23,3851596788.1805,True,106.45
2025-04-16,GLD,24,3707636915.2045007,True,297.78
2025-04-16,BABA,25,3467343559.9130006,True,112.28
2025-04-16,JPM,26,3407528927.4900007,True,233.13
2025-04-16,SOXL,27,3260153744.4675,True,10.6
2025-04-16,XLF,28,3246724715.113,True,47.27
2025-04-16,TSM,29,3181801440.9605,True,157.33
2025-04-16,UNH,30,3160076551.2095003,True,583.59
2025-04-16,LLY,31,2940078002.8174996,True,757.18
2025-04-16,APP,32,2826068389.1764994,True,245.47
2025-04-16,V,33,2670480097.8970003,True,335.81
2025-04-16,MU,34,2637121350.3949995,True,71.04
2025-04-16,COST,35,2612505443.7974997,True,976.92
2025-04-16,BAC,36,2419084069.321,True,37.99
2025-04-16,WMT,37,2372320240.3385,True,93.97
2025-04-16,TSLL,38,2321957617.746001,True,8.53
2025-04-16,INTC,39,2318400090.079,True,19.85
