date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2024-06-10,NVDA,1,50156044537.79474,True,120.888
2024-06-10,SPY,2,25088354322.71894,True,534.01
2024-06-10,QQQ,3,14176944377.004213,True,462.96
2024-06-10,TSLA,4,12553339092.287367,True,177.48
2024-06-10,AAPL,5,9797045436.606844,True,196.89
2024-06-10,AMD,6,8708037423.89421,True,167.87
2024-06-10,MSFT,7,7871313290.45579,True,423.85
2024-06-10,AMZN,8,6542090783.587369,True,184.3
2024-06-10,META,9,5599676356.004738,True,492.96
2024-06-10,SMCI,10,5065542182.967369,True,76.911
2024-06-10,IWM,11,4927081016.910526,True,201.2
2024-06-10,GOOGL,12,4162017957.608947,True,174.46
2024-06-10,AVGO,13,3588213922.2610526,True,140.664
2024-06-10,TLT,14,3206047615.0600004,True,91.5
2024-06-10,GME,15,3150816699.5910525,True,28.22
2024-06-10,GOOG,16,2998373301.528421,True,175.95
2024-06-10,TQQQ,17,2927776730.9852633,True,33.56
2024-06-10,CRM,18,2927046384.2268424,True,241.85
2024-06-10,DELL,19,2879722648.863158,True,129.97
2024-06-10,HYG,20,2481320241.2468424,True,76.89
2024-06-10,SOXL,21,2476584673.496316,True,51.87
2024-06-10,LQD,22,2422561367.49,True,106.96
2024-06-10,IVV,23,2315976801.5063157,True,536.73
2024-06-10,VOO,24,2168998171.0015793,True,490.8
2024-06-10,COIN,25,2134598019.1984208,True,244.16
2024-06-10,QCOM,26,2088521792.0294743,True,206.62
2024-06-10,V,27,2077945591.7189476,True,278.67
2024-06-10,MSTR,28,2051579270.4710524,True,159.62
2024-06-10,TSM,29,2033810146.5105262,True,164.39
2024-06-10,MU,30,1997301676.6357899,True,130.94
2024-06-10,LLY,31,1962669357.1436844,True,849.99
2024-06-10,NFLX,32,1884266738.2663157,True,64.147
2024-06-10,XOM,33,1846698801.6947367,True,112.75
2024-06-10,BABA,34,1841621385.9663157,True,78.41
2024-06-10,JPM,35,1774469597.0573688,True,199.95
2024-06-10,PDD,36,1769605113.374737,True,143.9
2024-06-10,SMH,37,1736209735.111053,True,252.21
2024-06-10,UNH,38,1700522028.4647367,True,490.69
2024-06-10,COST,39,1491842484.2568421,True,845.58
2024-06-10,ADBE,40,1475111193.1078944,True,465.43
2024-06-10,XLF,41,1433470897.477368,True,41.48
2024-06-10,CRWD,42,1381608704.6805263,True,349.12
2024-06-10,INTC,43,1368617176.796316,True,30.74
2024-06-10,PANW,44,1353579661.9757893,True,150.95
2024-06-10,GLD,45,1349825464.9578948,True,211.6
2024-06-10,BAC,46,1308706767.190526,True,39.78
2024-06-10,XLE,47,1254626039.7763157,True,44.995
2024-06-10,WMT,48,1237491285.0410528,True,65.88
2024-06-10,HD,49,1230095305.7905264,True,327.03
2024-06-10,EEM,50,1200136627.3194733,True,42.04
2024-06-10,AMAT,51,1196241578.002105,True,221.73
2024-06-10,LULU,52,1164619179.5378945,True,317.86
2024-06-10,NOW,53,1164300478.613158,True,139.762
2024-06-10,JNJ,54,1135229159.8478947,True,147.08
2024-06-10,NVDL,55,1131129894.6389472,True,68.33
2024-06-10,TXN,56,1126405144.5142105,True,195.61
2024-06-10,UBER,57,1115853626.8321054,True,69.31
2024-06-10,SQQQ,58,1115136227.653158,True,233
2024-06-10,BA,59,1113834833.3373687,True,190.24
2024-06-10,ARM,60,1095001268.8371053,True,136.57
