date,ticker,rank,avg_dollar_volume_20d,alpaca_tradable,price_d_minus_1
2024-06-24,NVDA,1,53127336961.139984,True,126.57
2024-06-24,SPY,2,25957230020.285,True,544.51
2024-06-24,AAPL,3,18396333850.358887,True,207.49
2024-06-24,QQQ,4,14032744673.544441,True,480.18
2024-06-24,TSLA,5,12690026443.832777,True,183.01
2024-06-24,AMD,6,8864813784.954445,True,161.23
2024-06-24,MSFT,7,8548608974.717778,True,449.78
2024-06-24,AVGO,8,7850241835.308888,True,165.863
2024-06-24,AMZN,9,6624342146.929444,True,189.08
2024-06-24,META,10,5786454908.506666,True,494.78
2024-06-24,SMCI,11,5497090703.227499,True,90.526
2024-06-24,IWM,12,5319431315.2705555,True,200.35
2024-06-24,GOOGL,13,4454301185.951666,True,179.63
2024-06-24,CRM,14,3693342905.546111,True,245.06
2024-06-24,DELL,15,3627733874.2122226,True,145.06
2024-06-24,GOOG,16,3372717677.0416665,True,180.26
2024-06-24,CRWD,17,3244487937.4672217,True,380.63
2024-06-24,TLT,18,3143384985.1766667,True,93.96
2024-06-24,TQQQ,19,3115150885.6950006,True,37.2
2024-06-24,MU,20,2884636761.723889,True,139.54
2024-06-24,GME,21,2876883769.056667,True,23.93
2024-06-24,IVV,22,2832568709.8277783,True,547.01
2024-06-24,SOXL,23,2810085395.3377786,True,58.2
2024-06-24,HYG,24,2773235144.8394446,True,77.39
2024-06-24,TSM,25,2701802377.908889,True,173.96
2024-06-24,VOO,26,2618658865.0533333,True,501.78
2024-06-24,QCOM,27,2513788097.4505553,True,212.53
2024-06-24,LQD,28,2510349693.335556,True,108.12
2024-06-24,ADBE,29,2449752069.727778,True,533.44
2024-06-24,LLY,30,2299009288.273333,True,883.88
2024-06-24,SMH,31,2135111183.9244444,True,264.89
2024-06-24,COIN,32,2109316751.5088894,True,225.86
2024-06-24,XOM,33,2056229760.98,True,110.76
2024-06-24,UNH,34,2042532146.6338892,True,482.59
2024-06-24,ARM,35,1978710439.0669446,True,160.3
2024-06-24,MSTR,36,1933360455.0566669,True,148.376
2024-06-24,V,37,1896534295.7211113,True,275.22
2024-06-24,NFLX,38,1878750220.8616667,True,68.612
2024-06-24,JPM,39,1766018116.0977774,True,196.3
2024-06-24,COST,40,1728865002.542222,True,848.31
